id,ai_response,amplitude,angry,atmosphere,brain_power,concentration_level,content,embarrassment,emotion_extract_id,emotional_cognition_ratio,energy,excitement,extreme_state,file_uri,hesitation,imagination_activity,intensive_thinking,sequence,sexual_arousal_factor,stress,uncertainty,unknown1,unknown2,upset,voice_energy
36fa424f-ab7c-4981-babc-eaac18a4788d,XXXX,9697,0,-3,868,868,0,0,7381b3d1-60b0-4dff-baab-f937bd102537,87,4,15,0,file://7381b3d1-60b0-4dff-baab-f937bd102537.wav-segment_000.wav/,17,4,2,0,0,6,0,11,0,0,16
4e797469-1534-4039-a5d2-91ebc19cfa62,XXXX,24388,0,20,953,953,0,14,0e616782-4609-4fbd-961f-6277ec55ae82,200,17,19,1,file://0e616782-4609-4fbd-961f-6277ec55ae82.wav-segment_000.wav/,15,0,0,0,0,0,0,32,0,0,42
dfd5d610-564f-41fd-aa34-f4ddac5b3f47,XXXX,17444,0,-2,831,831,0,0,baf1724b-7fcb-43c3-ad50-00af7b348c9a,89,7,23,0,file://baf1724b-7fcb-43c3-ad50-00af7b348c9a.wav-segment_003.wav/,17,0,2,3,0,7,0,26,0,0,50
5c870a53-fb6b-4265-af0d-f1b363401b05,XXXX,24388,0,20,953,953,0,14,49a6adb4-328d-4374-9682-deaff939034b,200,17,19,1,file://49a6adb4-328d-4374-9682-deaff939034b.wav-segment_000.wav/,15,0,0,0,0,0,0,32,0,0,42
c1e65989-c873-4ad3-b3a3-cb7105eaf4ad,XXXX,32316,0,-6,690,690,0,0,49a6adb4-328d-4374-9682-deaff939034b,58,2,19,0,file://49a6adb4-328d-4374-9682-deaff939034b.wav-segment_005.wav/,15,0,1,5,0,0,0,37,0,4,36
914d2cd7-2afb-4054-978d-4becc93cc780,XXXX,25968,0,-9,483,483,0,0,583f6bd5-2371-4600-bd49-bf9ef98388e5,32,5,7,5,file://583f6bd5-2371-4600-bd49-bf9ef98388e5.wav-segment_007.wav/,15,3,18,7,13,5,0,50,0,0,48
eec0d48c-7586-4369-b864-b006e630f198,XXXX,17444,0,-2,831,831,0,0,0e616782-4609-4fbd-961f-6277ec55ae82,89,7,23,0,file://0e616782-4609-4fbd-961f-6277ec55ae82.wav-segment_003.wav/,17,0,2,3,0,7,0,26,0,0,50
ad0db452-9409-4004-afb9-d95bdb8ffc83,XXXX,25804,0,-16,918,918,0,0,f68925f0-8ed8-4700-8d3c-e5da59ef2871,111,4,15,0,file://f68925f0-8ed8-4700-8d3c-e5da59ef2871.wav-segment_001.wav/,17,0,0,1,6,4,0,38,0,0,62
151b84d8-6b02-4934-b9fb-4e8971797302,XXXX,14978,0,6,891,891,0,0,baf1724b-7fcb-43c3-ad50-00af7b348c9a,134,8,16,0,file://baf1724b-7fcb-43c3-ad50-00af7b348c9a.wav-segment_004.wav/,21,0,0,4,0,2,0,17,0,0,29
7cb497e1-44cb-46d2-b5a1-8a7371c1f39c,XXXX,17444,0,-2,831,831,0,0,794d4666-b4a0-4eb1-a635-a5b89c930824,89,7,23,0,file://794d4666-b4a0-4eb1-a635-a5b89c930824.wav-segment_003.wav/,17,0,2,3,0,7,0,26,0,0,50
11ed3c51-16f1-4b8c-90c0-f5817e0369d0,XXXX,24388,0,20,953,953,0,14,9ae3b4c0-b771-4074-9f8d-215ddc78f3b0,200,17,19,1,file://9ae3b4c0-b771-4074-9f8d-215ddc78f3b0.wav-segment_000.wav/,15,0,0,0,0,0,0,32,0,0,42
243e4152-19f0-43eb-8477-7b6dc07d7c00,XXXX,25968,0,-9,483,483,0,0,86414c54-3d4f-4593-83a6-66bb119d3817,32,5,7,5,file://86414c54-3d4f-4593-83a6-66bb119d3817.wav-segment_007.wav/,15,3,18,7,13,5,0,50,0,0,48
77fdbf22-1689-449b-92c2-79c0b5d06bcd,XXXX,19284,0,-4,613,613,0,0,db1b2dd8-63c4-4a45-ae79-3b827b58b02e,76,4,10,0,file://db1b2dd8-63c4-4a45-ae79-3b827b58b02e.wav-segment_002.wav/,15,1,0,2,3,2,0,36,0,0,50
3075ea31-fc4b-4436-804e-c2e18b51cf02,XXXX,25804,0,-16,918,918,0,0,794d4666-b4a0-4eb1-a635-a5b89c930824,111,4,15,0,file://794d4666-b4a0-4eb1-a635-a5b89c930824.wav-segment_001.wav/,17,0,0,1,6,4,0,38,0,0,62
797bd623-a6ac-4e70-8392-b9095eeff582,XXXX,8729,0,10,989,989,0,0,a1a809c2-499a-45c4-b67e-6901abf9a5d2,145,5,22,1,file://a1a809c2-499a-45c4-b67e-6901abf9a5d2.wav-segment_000.wav/,19,0,0,0,0,1,0,10,0,0,20
